Drone_ID,X (m),Y (m),Z (m)
1,-104.5,-26.5,0
2,-94.5,-26.5,0
3,-84.5,-26.5,0
4,-74.5,-26.5,0
5,-64.5,-26.5,0
6,-54.5,-26.5,0
7,-44.5,-26.5,0
8,-34.5,-26.5,0
9,-24.5,-26.5,0
10,-14.5,-26.5,0
11,-4.5,-26.5,0
12,5.5,-26.5,0
13,-104.5,-16.5,0
14,-94.5,-16.5,0
15,-84.5,-16.5,0
16,-74.5,-16.5,0
17,-64.5,-16.5,0
18,-54.5,-16.5,0
19,-44.5,-16.5,0
20,-34.5,-16.5,0
21,-24.5,-16.5,0
22,-14.5,-16.5,0
23,-4.5,-16.5,0
24,5.5,-16.5,0
25,-104.5,-6.5,0
26,-94.5,-6.5,0
27,-84.5,-6.5,0
28,-74.5,-6.5,0
29,-64.5,-6.5,0
30,-54.5,-6.5,0
31,-44.5,-6.5,0
32,-34.5,-6.5,0
33,-24.5,-6.5,0
34,-14.5,-6.5,0
35,-4.5,-6.5,0
36,5.5,-6.5,0
37,-104.5,3.5,0
38,-94.5,3.5,0
39,-84.5,3.5,0
40,-74.5,3.5,0
41,-64.5,3.5,0
42,-54.5,3.5,0
43,-44.5,3.5,0
44,-34.5,3.5,0
45,-24.5,3.5,0
46,-14.5,3.5,0
47,-4.5,3.5,0
48,5.5,3.5,0
49,-104.5,13.5,0
50,-94.5,13.5,0
51,-84.5,13.5,0
52,-74.5,13.5,0
53,-64.5,13.5,0
54,-54.5,13.5,0
55,-44.5,13.5,0
56,-34.5,13.5,0
57,-24.5,13.5,0
58,-14.5,13.5,0
59,-4.5,13.5,0
60,5.5,13.5,0
61,-104.5,-26.5,10
62,-94.5,-26.5,10
63,-84.5,-26.5,10
64,-74.5,-26.5,10
65,-64.5,-26.5,10
66,-54.5,-26.5,10
67,-44.5,-26.5,10
68,-34.5,-26.5,10
69,-24.5,-26.5,10
70,-14.5,-26.5,10
71,-4.5,-26.5,10
72,5.5,-26.5,10
73,-104.5,-16.5,10
74,-94.5,-16.5,10
75,-84.5,-16.5,10
76,-74.5,-16.5,10
77,-64.5,-16.5,10
78,-54.5,-16.5,10
79,-44.5,-16.5,10
80,-34.5,-16.5,10
81,-24.5,-16.5,10
82,-14.5,-16.5,10
83,-4.5,-16.5,10
84,5.5,-16.5,10
85,-104.5,-6.5,10
86,-94.5,-6.5,10
87,-84.5,-6.5,10
88,-74.5,-6.5,10
89,-64.5,-6.5,10
90,-54.5,-6.5,10
91,-44.5,-6.5,10
92,-34.5,-6.5,10
93,-24.5,-6.5,10
94,-14.5,-6.5,10
95,-4.5,-6.5,10
96,5.5,-6.5,10
97,-104.5,3.5,10
98,-94.5,3.5,10
99,-84.5,3.5,10
100,-74.5,3.5,10
101,-64.5,3.5,10
102,-54.5,3.5,10
103,-44.5,3.5,10
104,-34.5,3.5,10
105,-24.5,3.5,10
106,-14.5,3.5,10
107,-4.5,3.5,10
108,5.5,3.5,10
109,-104.5,13.5,10
110,-94.5,13.5,10
111,-84.5,13.5,10
112,-74.5,13.5,10
113,-64.5,13.5,10
114,-54.5,13.5,10
115,-44.5,13.5,10
116,-34.5,13.5,10
117,-24.5,13.5,10
118,-14.5,13.5,10
119,-4.5,13.5,10
120,5.5,13.5,10
121,-104.5,-26.5,20
122,-94.5,-26.5,20
123,-84.5,-26.5,20
124,-74.5,-26.5,20
125,-64.5,-26.5,20
126,-54.5,-26.5,20
127,-44.5,-26.5,20
128,-34.5,-26.5,20
129,-24.5,-26.5,20
130,-14.5,-26.5,20
131,-4.5,-26.5,20
132,5.5,-26.5,20
133,-104.5,-16.5,20
134,-94.5,-16.5,20
135,-84.5,-16.5,20
136,-74.5,-16.5,20
137,-64.5,-16.5,20
138,-54.5,-16.5,20
139,-44.5,-16.5,20
140,-34.5,-16.5,20
141,-24.5,-16.5,20
142,-14.5,-16.5,20
143,-4.5,-16.5,20
144,5.5,-16.5,20
145,-104.5,-6.5,20
146,-94.5,-6.5,20
147,-84.5,-6.5,20
148,-74.5,-6.5,20
149,-64.5,-6.5,20
150,-54.5,-6.5,20
151,-44.5,-6.5,20
152,-34.5,-6.5,20
153,-24.5,-6.5,20
154,-14.5,-6.5,20
155,-4.5,-6.5,20
156,5.5,-6.5,20
157,-104.5,3.5,20
158,-94.5,3.5,20
159,-84.5,3.5,20
160,-74.5,3.5,20
161,-64.5,3.5,20
162,-54.5,3.5,20
163,-44.5,3.5,20
164,-34.5,3.5,20
165,-24.5,3.5,20
166,-14.5,3.5,20
167,-4.5,3.5,20
168,5.5,3.5,20
169,-104.5,13.5,20
170,-94.5,13.5,20
171,-84.5,13.5,20
172,-74.5,13.5,20
173,-64.5,13.5,20
174,-54.5,13.5,20
175,-44.5,13.5,20
176,-34.5,13.5,20
177,-24.5,13.5,20
178,-14.5,13.5,20
179,-4.5,13.5,20
180,5.5,13.5,20
181,-104.5,-26.5,30
182,-94.5,-26.5,30
183,-84.5,-26.5,30
184,-74.5,-26.5,30
185,-64.5,-26.5,30
186,-54.5,-26.5,30
187,-44.5,-26.5,30
188,-34.5,-26.5,30
189,-24.5,-26.5,30
190,-14.5,-26.5,30
191,-4.5,-26.5,30
192,5.5,-26.5,30
193,-104.5,-16.5,30
194,-94.5,-16.5,30
195,-84.5,-16.5,30
196,-74.5,-16.5,30
197,-64.5,-16.5,30
198,-54.5,-16.5,30
199,-44.5,-16.5,30
200,-34.5,-16.5,30
201,-24.5,-16.5,30
202,-14.5,-16.5,30
203,-4.5,-16.5,30
204,5.5,-16.5,30
205,-104.5,-6.5,30
206,-94.5,-6.5,30
207,-84.5,-6.5,30
208,-74.5,-6.5,30
209,-64.5,-6.5,30
210,-54.5,-6.5,30
211,-44.5,-6.5,30
212,-34.5,-6.5,30
213,-24.5,-6.5,30
214,-14.5,-6.5,30
215,-4.5,-6.5,30
216,5.5,-6.5,30
217,-104.5,3.5,30
218,-94.5,3.5,30
219,-84.5,3.5,30
220,-74.5,3.5,30
221,-64.5,3.5,30
222,-54.5,3.5,30
223,-44.5,3.5,30
224,-34.5,3.5,30
225,-24.5,3.5,30
226,-14.5,3.5,30
227,-4.5,3.5,30
228,5.5,3.5,30
229,-104.5,13.5,30
230,-94.5,13.5,30
231,-84.5,13.5,30
232,-74.5,13.5,30
233,-64.5,13.5,30
234,-54.5,13.5,30
235,-44.5,13.5,30
236,-34.5,13.5,30
237,-24.5,13.5,30
238,-14.5,13.5,30
239,-4.5,13.5,30
240,5.5,13.5,30
241,-104.5,-26.5,40
242,-94.5,-26.5,40
243,-84.5,-26.5,40
244,-74.5,-26.5,40
245,-64.5,-26.5,40
246,-54.5,-26.5,40
247,-44.5,-26.5,40
248,-34.5,-26.5,40
249,-24.5,-26.5,40
250,-14.5,-26.5,40
251,-4.5,-26.5,40
252,5.5,-26.5,40
253,-104.5,-16.5,40
254,-94.5,-16.5,40
255,-84.5,-16.5,40
256,-74.5,-16.5,40
257,-64.5,-16.5,40
258,-54.5,-16.5,40
259,-44.5,-16.5,40
260,-34.5,-16.5,40
261,-24.5,-16.5,40
262,-14.5,-16.5,40
263,-4.5,-16.5,40
264,5.5,-16.5,40
265,-104.5,-6.5,40
266,-94.5,-6.5,40
267,-84.5,-6.5,40
268,-74.5,-6.5,40
269,-64.5,-6.5,40
270,-54.5,-6.5,40
271,-44.5,-6.5,40
272,-34.5,-6.5,40
273,-24.5,-6.5,40
274,-14.5,-6.5,40
275,-4.5,-6.5,40
276,5.5,-6.5,40
277,-104.5,3.5,40
278,-94.5,3.5,40
279,-84.5,3.5,40
280,-74.5,3.5,40
281,-64.5,3.5,40
282,-54.5,3.5,40
283,-44.5,3.5,40
284,-34.5,3.5,40
285,-24.5,3.5,40
286,-14.5,3.5,40
287,-4.5,3.5,40
288,5.5,3.5,40
289,-104.5,13.5,40
290,-94.5,13.5,40
291,-84.5,13.5,40
292,-74.5,13.5,40
293,-64.5,13.5,40
294,-54.5,13.5,40
295,-44.5,13.5,40
296,-34.5,13.5,40
297,-24.5,13.5,40
298,-14.5,13.5,40
299,-4.5,13.5,40
300,5.5,13.5,40
301,-104.5,-26.5,50
302,-94.5,-26.5,50
303,-84.5,-26.5,50
304,-74.5,-26.5,50
305,-64.5,-26.5,50
306,-54.5,-26.5,50
307,-44.5,-26.5,50
308,-34.5,-26.5,50
309,-24.5,-26.5,50
310,-14.5,-26.5,50
311,-4.5,-26.5,50
312,5.5,-26.5,50
313,-104.5,-16.5,50
314,-94.5,-16.5,50
315,-84.5,-16.5,50
316,-74.5,-16.5,50
317,-64.5,-16.5,50
318,-54.5,-16.5,50
319,-44.5,-16.5,50
320,-34.5,-16.5,50
321,-24.5,-16.5,50
322,-14.5,-16.5,50
323,-4.5,-16.5,50
324,5.5,-16.5,50
325,-104.5,-6.5,50
326,-94.5,-6.5,50
327,-84.5,-6.5,50
328,-74.5,-6.5,50
329,-64.5,-6.5,50
330,-54.5,-6.5,50
331,-44.5,-6.5,50
332,-34.5,-6.5,50
333,-24.5,-6.5,50
334,-14.5,-6.5,50
335,-4.5,-6.5,50
336,5.5,-6.5,50
337,-104.5,3.5,50
338,-94.5,3.5,50
339,-84.5,3.5,50
340,-74.5,3.5,50
341,-64.5,3.5,50
342,-54.5,3.5,50
343,-44.5,3.5,50
344,-34.5,3.5,50
345,-24.5,3.5,50
346,-14.5,3.5,50
347,-4.5,3.5,50
348,5.5,3.5,50
349,-104.5,13.5,50
350,-94.5,13.5,50
351,-84.5,13.5,50
352,-74.5,13.5,50
353,-64.5,13.5,50
354,-54.5,13.5,50
355,-44.5,13.5,50
356,-34.5,13.5,50
357,-24.5,13.5,50
358,-14.5,13.5,50
359,-4.5,13.5,50
360,5.5,13.5,50
361,-104.5,-26.5,60
362,-94.5,-26.5,60
363,-84.5,-26.5,60
364,-74.5,-26.5,60
365,-64.5,-26.5,60
366,-54.5,-26.5,60
367,-44.5,-26.5,60
368,-34.5,-26.5,60
369,-24.5,-26.5,60
370,-14.5,-26.5,60
371,-4.5,-26.5,60
372,5.5,-26.5,60
373,-104.5,-16.5,60
374,-94.5,-16.5,60
375,-84.5,-16.5,60
376,-74.5,-16.5,60
377,-64.5,-16.5,60
378,-54.5,-16.5,60
379,-44.5,-16.5,60
380,-34.5,-16.5,60
381,-24.5,-16.5,60
382,-14.5,-16.5,60
383,-4.5,-16.5,60
384,5.5,-16.5,60
385,-104.5,-6.5,60
386,-94.5,-6.5,60
387,-84.5,-6.5,60
388,-74.5,-6.5,60
389,-64.5,-6.5,60
390,-54.5,-6.5,60
391,-44.5,-6.5,60
392,-34.5,-6.5,60
393,-24.5,-6.5,60
394,-14.5,-6.5,60
395,-4.5,-6.5,60
396,5.5,-6.5,60
397,-104.5,3.5,60
398,-94.5,3.5,60
399,-84.5,3.5,60
400,-74.5,3.5,60
401,-64.5,3.5,60
402,-54.5,3.5,60
403,-44.5,3.5,60
404,-34.5,3.5,60
405,-24.5,3.5,60
406,-14.5,3.5,60
407,-4.5,3.5,60
408,5.5,3.5,60
409,-104.5,13.5,60
410,-94.5,13.5,60
411,-84.5,13.5,60
412,-74.5,13.5,60
413,-64.5,13.5,60
414,-54.5,13.5,60
415,-44.5,13.5,60
416,-34.5,13.5,60
417,-24.5,13.5,60
418,-14.5,13.5,60
419,-4.5,13.5,60
420,5.5,13.5,60
421,-104.5,-26.5,70
422,-94.5,-26.5,70
423,-84.5,-26.5,70
424,-74.5,-26.5,70
425,-64.5,-26.5,70
426,-54.5,-26.5,70
427,-44.5,-26.5,70
428,-34.5,-26.5,70
429,-24.5,-26.5,70
430,-14.5,-26.5,70
431,-4.5,-26.5,70
432,5.5,-26.5,70
433,-104.5,-16.5,70
434,-94.5,-16.5,70
435,-84.5,-16.5,70
436,-74.5,-16.5,70
437,-64.5,-16.5,70
438,-54.5,-16.5,70
439,-44.5,-16.5,70
440,-34.5,-16.5,70
441,-24.5,-16.5,70
442,-14.5,-16.5,70
443,-4.5,-16.5,70
444,5.5,-16.5,70
445,-104.5,-6.5,70
446,-94.5,-6.5,70
447,-84.5,-6.5,70
448,-74.5,-6.5,70
449,-64.5,-6.5,70
450,-54.5,-6.5,70
451,-44.5,-6.5,70
452,-34.5,-6.5,70
453,-24.5,-6.5,70
454,-14.5,-6.5,70
455,-4.5,-6.5,70
456,5.5,-6.5,70
457,-104.5,3.5,70
458,-94.5,3.5,70
459,-84.5,3.5,70
460,-74.5,3.5,70
461,-64.5,3.5,70
462,-54.5,3.5,70
463,-44.5,3.5,70
464,-34.5,3.5,70
465,-24.5,3.5,70
466,-14.5,3.5,70
467,-4.5,3.5,70
468,5.5,3.5,70
469,-104.5,13.5,70
470,-94.5,13.5,70
471,-84.5,13.5,70
472,-74.5,13.5,70
473,-64.5,13.5,70
474,-54.5,13.5,70
475,-44.5,13.5,70
476,-34.5,13.5,70
477,-24.5,13.5,70
478,-14.5,13.5,70
479,-4.5,13.5,70
480,5.5,13.5,70
481,-104.5,-26.5,80
482,-94.5,-26.5,80
483,-84.5,-26.5,80
484,-74.5,-26.5,80
485,-64.5,-26.5,80
486,-54.5,-26.5,80
487,-44.5,-26.5,80
488,-34.5,-26.5,80
489,-24.5,-26.5,80
490,-14.5,-26.5,80
491,-4.5,-26.5,80
492,5.5,-26.5,80
493,-104.5,-16.5,80
494,-94.5,-16.5,80
495,-84.5,-16.5,80
496,-74.5,-16.5,80
497,-64.5,-16.5,80
498,-54.5,-16.5,80
499,-44.5,-16.5,80
500,-34.5,-16.5,80
501,-24.5,-16.5,80
502,-14.5,-16.5,80
503,-4.5,-16.5,80
504,5.5,-16.5,80
505,-104.5,-6.5,80
506,-94.5,-6.5,80
507,-84.5,-6.5,80
508,-74.5,-6.5,80
509,-64.5,-6.5,80
510,-54.5,-6.5,80
511,-44.5,-6.5,80
512,-34.5,-6.5,80
513,-24.5,-6.5,80
514,-14.5,-6.5,80
515,-4.5,-6.5,80
516,5.5,-6.5,80
517,-104.5,3.5,80
518,-94.5,3.5,80
519,-84.5,3.5,80
520,-74.5,3.5,80
521,-64.5,3.5,80
522,-54.5,3.5,80
523,-44.5,3.5,80
524,-34.5,3.5,80
525,-24.5,3.5,80
526,-14.5,3.5,80
527,-4.5,3.5,80
528,5.5,3.5,80
529,-104.5,13.5,80
530,-94.5,13.5,80
531,-84.5,13.5,80
532,-74.5,13.5,80
533,-64.5,13.5,80
534,-54.5,13.5,80
535,-44.5,13.5,80
536,-34.5,13.5,80
537,-24.5,13.5,80
538,-14.5,13.5,80
539,-4.5,13.5,80
540,5.5,13.5,80
541,-104.5,-26.5,90
542,-94.5,-26.5,90
543,-84.5,-26.5,90
544,-74.5,-26.5,90
545,-64.5,-26.5,90
546,-54.5,-26.5,90
547,-44.5,-26.5,90
548,-34.5,-26.5,90
549,-24.5,-26.5,90
550,-14.5,-26.5,90
551,-4.5,-26.5,90
552,5.5,-26.5,90
553,-104.5,-16.5,90
554,-94.5,-16.5,90
555,-84.5,-16.5,90
556,-74.5,-16.5,90
557,-64.5,-16.5,90
558,-54.5,-16.5,90
559,-44.5,-16.5,90
560,-34.5,-16.5,90
561,-24.5,-16.5,90
562,-14.5,-16.5,90
563,-4.5,-16.5,90
564,5.5,-16.5,90
565,-104.5,-6.5,90
566,-94.5,-6.5,90
567,-84.5,-6.5,90
568,-74.5,-6.5,90
569,-64.5,-6.5,90
570,-54.5,-6.5,90
571,-44.5,-6.5,90
572,-34.5,-6.5,90
573,-24.5,-6.5,90
574,-14.5,-6.5,90
575,-4.5,-6.5,90
576,5.5,-6.5,90
577,-104.5,3.5,90
578,-94.5,3.5,90
579,-84.5,3.5,90
580,-74.5,3.5,90
581,-64.5,3.5,90
582,-54.5,3.5,90
583,-44.5,3.5,90
584,-34.5,3.5,90
585,-24.5,3.5,90
586,-14.5,3.5,90
587,-4.5,3.5,90
588,5.5,3.5,90
589,-104.5,13.5,90
590,-94.5,13.5,90
591,-84.5,13.5,90
592,-74.5,13.5,90
593,-64.5,13.5,90
594,-54.5,13.5,90
595,-44.5,13.5,90
596,-34.5,13.5,90
597,-24.5,13.5,90
598,-14.5,13.5,90
599,-4.5,13.5,90
600,5.5,13.5,90
